"Source:"	"/home/moptim/elektronicks/kello-yritys2/kello-yritys2.sch"
"Date:"	"ke  5. helmikuuta 2020 20.32.08"
"Tool:"	"Eeschema 5.1.5-52549c5~84~ubuntu18.04.1"
"Component Count:"	"205"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R6"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R7"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R8"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R9"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R10"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R11"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R12"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R13"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R14"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R15"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R16"	"680"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R17"	"270"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R18"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R19"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R20"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R21"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R22"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R23"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R24"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R25"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R26"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R27"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R28"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R29"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R30"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R31"	"270"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R32"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R33"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R34"	"270"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R35"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R36"	"270"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R37"	"1M"	"Device:R_Small"	""	"Resistor, small symbol"	""
"R38"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R39"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R40"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R41"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R42"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R43"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R44"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R45"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R46"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R47"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R48"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R49"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R50"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R51"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R52"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R53"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R54"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R55"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R56"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R57"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R58"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R59"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R60"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R61"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R62"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R63"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R64"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R65"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R66"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R67"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R68"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R69"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R70"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R71"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R72"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R73"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R74"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R75"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R76"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R77"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R78"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R79"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R80"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R81"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R82"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R83"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R84"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R85"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R86"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R87"	"75"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R88"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R89"	"25"	"Device:R_Small"	"Resistor_SMD:R_1206_3216Metric"	"Resistor, small symbol"	""
"R90"	"100"	"Device:R"	""	"Resistor"	""
"R91"	"1k"	"Device:R"	""	"Resistor"	""
"R92"	"100"	"Device:R"	""	"Resistor"	""
"R93"	"1k"	"Device:R"	""	"Resistor"	""
"SW1"	"SW_Push_Dual"	"Switch:SW_Push_Dual"	"Button_Switch_THT:SW_PUSH_6mm"	"Push button switch, generic, symbol, four pins"	""
"SW2"	"SW_Push_Dual"	"Switch:SW_Push_Dual"	"Button_Switch_THT:SW_PUSH_6mm"	"Push button switch, generic, symbol, four pins"	""
"U1"	"ATmega328PB-AU"	"MCU_Microchip_ATmega:ATmega328PB-AU"	"Package_QFP:TQFP-32_7x7mm_P0.8mm"	"20MHz, 32kB Flash, 2kB SRAM, 1kB EEPROM, TQFP-32"	""
